,furnishing,bathrooms,facing,security_numeric,price_numeric,built_up_area_numeric_in_sq_ft,balcony_numeric,floor_number,total_floors,age_numeric,AC,Bed,CCTV,Cupboard,Fridge,Geyser,Intercom,Microwave,Not Found,Sofa,Stove,TV,Washing Machine,+10,+2,+5,+7,Garden,Gas Pipeline,Gated Community,Gym,Intercom,Kids Area,Lift,Not Found,Parking,Pet Allowed,Pool,Power Backup,Sports Facility,Water Supply
54,Fully Furnished,2,East,200000.0,80000,750,0,6,15,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
55,Semi Furnished,3,North-West,350000.0,131000,765,0,10,16,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
56,Semi Furnished,2,North-West,200000.0,75000,800,1,10,19,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
57,Unfurnished,2,South-East,200000.0,85000,860,1,10,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Unfurnished,2,North,140000.0,72000,1185,0,3,12,14,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1
59,Fully Furnished,2,East,150000.0,60000,960,1,3,7,10,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
60,Fully Furnished,2,East,150000.0,58500,980,0,1,4,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
61,Unfurnished,2,East,180000.0,60000,900,0,6,16,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1
62,Unfurnished,2,East,100000.0,32500,565,0,0,4,15,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
63,Unfurnished,2,South-East,150000.0,65000,950,0,7,22,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1
64,Semi Furnished,2,South,250000.0,82000,898,1,4,9,11,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
65,Semi Furnished,2,East,250000.0,82000,1450,1,11,14,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
66,Unfurnished,2,South-East,500000.0,141000,1750,1,8,13,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
67,Unfurnished,2,East,300000.0,79500,1450,1,1,14,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
68,Semi Furnished,2,East,200000.0,75000,1050,0,9,9,10,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
69,Semi Furnished,2,East,200000.0,72000,1250,1,11,24,6,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
70,Semi Furnished,2,East,250000.0,78000,1450,1,5,12,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
71,Semi Furnished,2,East,200000.0,67000,1250,1,14,24,6,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
72,Fully Furnished,2,East,300000.0,87000,1150,1,5,10,4,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
73,Semi Furnished,2,East,300000.0,85000,1450,1,11,14,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
74,Semi Furnished,2,East,300000.0,82000,1450,1,5,14,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
75,Fully Furnished,2,East,200000.0,75000,1050,0,4,9,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
