,furnishing,bathrooms,facing,security_numeric,price_numeric,built_up_area_numeric_in_sq_ft,balcony_numeric,floor_number,total_floors,age_numeric,AC,Bed,CCTV,Cupboard,Fridge,Geyser,Intercom,Microwave,Not Found,Sofa,Stove,TV,Washing Machine,+10,+2,+5,+7,Garden,Gas Pipeline,Gated Community,Gym,Intercom,Kids Area,Lift,Not Found,Parking,Pet Allowed,Pool,Power Backup,Sports Facility,Water Supply
296,Fully Furnished,2,East,180000.0,90000,1028,0,3,7,18,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
297,Fully Furnished,2,North,200000.0,58000,520,0,3,7,10,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
298,Fully Furnished,2,North-East,150000.0,55000,900,0,2,4,10,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
299,Fully Furnished,2,East,100000.0,45000,650,0,1,7,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0
300,Fully Furnished,2,East,150000.0,40000,1200,0,2,7,8,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0
301,Semi Furnished,1,North,100000.0,40000,700,0,0,4,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
302,Semi Furnished,2,East,200000.0,65000,850,1,0,4,20,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
303,Unfurnished,3,West,500000.0,130000,1350,1,6,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
304,Semi Furnished,2,North,200000.0,60000,902,0,8,14,10,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
305,Fully Furnished,2,East,100000.0,37000,585,0,2,4,15,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
306,Fully Furnished,2,North-West,150000.0,58000,900,0,2,5,20,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
307,Fully Furnished,2,East,250000.0,85000,697,0,10,16,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
308,Fully Furnished,2,East,300000.0,80000,850,0,2,7,15,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
309,Unfurnished,2,East,200000.0,55000,1000,0,14,15,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
310,Fully Furnished,2,East,200000.0,84000,848,1,4,16,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
311,Fully Furnished,3,East,400000.0,139000,1350,0,4,16,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
312,Fully Furnished,2,East,150000.0,64000,810,1,5,9,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1
313,Semi Furnished,3,East,300000.0,115000,1500,1,4,9,11,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
314,Fully Furnished,2,East,350000.0,85000,1100,0,6,17,15,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
315,Fully Furnished,2,North-East,200000.0,62000,1000,0,6,13,15,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1
316,Semi Furnished,3,East,600000.0,160000,1650,1,10,16,4,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
317,Unfurnished,2,East,250000.0,64000,945,0,9,13,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
318,Fully Furnished,2,East,120000.0,39000,650,0,3,7,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1
319,Fully Furnished,2,East,200000.0,80000,900,0,8,18,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
321,Unfurnished,3,East,650000.0,170000,1500,1,18,30,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
322,Semi Furnished,2,East,120000.0,52000,700,0,9,18,3,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
323,Unfurnished,2,East,200000.0,62000,782,0,8,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
324,Fully Furnished,3,East,400000.0,140000,1170,0,12,15,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
325,Fully Furnished,2,East,150000.0,45000,700,1,4,7,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
326,Fully Furnished,1,West,180000.0,60000,600,1,10,15,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
327,Semi Furnished,1,South,150000.0,55500,360,1,5,16,5,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1
328,Semi Furnished,1,South,150000.0,60000,366,1,5,16,5,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1
329,Semi Furnished,2,East,300000.0,75000,850,1,2,7,10,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
330,Unfurnished,2,North,250000.0,85000,670,1,18,36,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
331,Fully Furnished,3,East,600000.0,120000,1300,1,15,20,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
332,Unfurnished,3,East,300000.0,100000,1500,0,8,12,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1
333,Fully Furnished,3,East,300000.0,95000,1450,1,5,7,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
334,Semi Furnished,3,West,700000.0,175000,1850,1,15,25,11,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
335,Fully Furnished,2,West,200000.0,70000,640,0,5,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
336,Fully Furnished,2,East,100000.0,38000,610,0,3,4,20,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
337,Unfurnished,2,North-East,250000.0,65000,952,0,10,13,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
338,Fully Furnished,2,East,300000.0,90000,900,0,12,22,8,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1
339,Unfurnished,2,North,100000.0,40000,600,0,12,18,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1
340,Fully Furnished,2,North,150000.0,58500,950,0,1,4,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
341,Fully Furnished,2,West,100000.0,48000,650,1,2,4,15,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
342,Fully Furnished,3,North-East,560000.0,140000,1475,0,0,22,8,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
343,Unfurnished,2,East,150000.0,50000,600,0,12,16,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
344,Fully Furnished,2,East,200000.0,65000,675,1,0,18,3,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
345,Fully Furnished,2,East,250000.0,90000,851,0,5,17,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
348,Fully Furnished,1,East,150000.0,60000,745,1,5,12,11,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
349,Fully Furnished,2,East,150000.0,45000,655,0,4,8,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
350,Fully Furnished,3,North,330000.0,120000,1300,1,15,23,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
351,Semi Furnished,2,East,400000.0,130000,1200,1,14,35,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
352,Unfurnished,3,West,300000.0,100000,1450,0,10,13,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
353,Unfurnished,2,East,150000.0,57000,750,0,12,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
354,Fully Furnished,1,West,100000.0,40000,600,0,8,15,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
355,Unfurnished,1,West,100000.0,40000,600,0,7,15,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1
356,Fully Furnished,2,East,250000.0,87000,1200,0,2,19,7,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
357,Fully Furnished,2,East,150000.0,60000,760,0,12,18,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
358,Fully Furnished,3,East,300000.0,100000,1400,0,12,18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
359,Fully Furnished,2,East,200000.0,60000,1050,0,3,11,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
360,Unfurnished,2,East,150000.0,55000,670,0,8,16,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
361,Unfurnished,2,East,200000.0,70000,1100,0,15,19,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
362,Semi Furnished,2,North,100000.0,45000,600,0,4,8,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
363,Fully Furnished,2,East,200000.0,80000,875,0,7,12,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
364,Fully Furnished,2,East,200000.0,80000,982,0,6,12,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
365,Fully Furnished,2,North,500000.0,120000,820,0,20,21,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
366,Fully Furnished,2,East,100000.0,45000,625,0,6,8,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
367,Semi Furnished,3,East,900000.0,275000,2000,0,8,15,4,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1
368,Fully Furnished,3,East,1000000.0,200000,1785,0,12,21,20,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0
369,Fully Furnished,2,West,150000.0,62500,1150,0,4,10,7,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1
370,Semi Furnished,3,East,300000.0,110000,1550,0,7,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
371,Fully Furnished,2,East,200000.0,65000,1050,0,5,11,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
372,Unfurnished,2,East,150000.0,55000,500,0,3,22,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
373,Semi Furnished,2,East,250000.0,84000,1000,0,7,14,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
374,Fully Furnished,2,East,300000.0,85000,900,1,5,7,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
375,Fully Furnished,2,East,100000.0,40000,635,0,5,7,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
376,Fully Furnished,2,East,200000.0,70000,965,0,5,7,15,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1
377,Unfurnished,2,East,200000.0,76000,1050,1,12,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1
378,Fully Furnished,2,East,110000.00000000001,42000,635,0,5,12,15,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
379,Unfurnished,3,East,700000.0,169000,1550,0,21,42,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
380,Semi Furnished,2,West,200000.0,52000,720,0,10,15,8,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
381,Unfurnished,2,East,200000.0,60000,750,0,5,11,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
382,Unfurnished,1,West,100000.0,40000,600,0,10,25,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
383,Unfurnished,4,East,400000.0,160000,1650,0,12,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
384,Semi Furnished,2,East,250000.0,82000,1200,1,10,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
385,Unfurnished,2,North,100000.0,39500,721,1,4,11,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
386,Fully Furnished,2,East,160000.0,87000,1250,1,10,15,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
387,Unfurnished,2,East,200000.0,54000,650,0,21,23,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
388,Semi Furnished,2,North,150000.0,52500,850,1,3,22,2,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
389,Fully Furnished,2,East,200000.0,55000,875,0,3,8,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1
390,Fully Furnished,2,East,200000.0,85000,1145,0,5,8,15,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
391,Semi Furnished,3,East,300000.0,115000,1450,0,8,22,7,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
392,Fully Furnished,2,East,200000.0,90000,852,0,2,18,5,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
393,Fully Furnished,1,East,100000.0,38000,650,0,1,4,9,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0
394,Fully Furnished,2,East,150000.0,58000,720,1,10,12,6,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1
395,Fully Furnished,2,East,200000.0,80000,955,0,6,8,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
396,Semi Furnished,2,North-East,500000.0,136000,1750,1,8,13,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
397,Semi Furnished,2,North-East,500000.0,137000,1750,1,8,13,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
398,Unfurnished,2,North-East,500000.0,138000,1750,1,8,13,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
399,Semi Furnished,3,East,400000.0,100000,1100,0,8,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
400,Fully Furnished,2,West,100000.0,45000,650,0,5,7,18,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
401,Unfurnished,2,West,150000.0,50000,560,1,0,37,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1
403,Fully Furnished,2,East,150000.0,55000,750,0,3,14,9,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
404,Fully Furnished,2,East,800000.0,187000,1100,0,31,40,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
405,Fully Furnished,2,East,150000.0,60000,1050,0,6,7,12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1
406,Fully Furnished,2,East,200000.0,90000,1650,0,9,12,8,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1
407,Fully Furnished,2,East,180000.0,68000,650,0,10,22,8,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
408,Unfurnished,2,East,200000.0,75000,900,0,8,22,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
409,Semi Furnished,2,North-East,200000.0,75000,1000,1,9,22,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
410,Unfurnished,2,West,150000.0,52000,750,0,16,19,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
411,Semi Furnished,2,East,200000.0,72000,900,0,9,12,3,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
412,Semi Furnished,2,East,100000.0,37000,650,0,5,11,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
413,Fully Furnished,2,East,150000.0,50000,750,0,5,11,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
414,Fully Furnished,2,East,250000.0,85000,1050,0,7,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
415,Unfurnished,3,East,300000.0,110000,1400,0,9,11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
416,Fully Furnished,2,East,200000.0,90000,750,0,12,15,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
417,Unfurnished,2,East,150000.0,60000,1050,0,2,8,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
419,Semi Furnished,2,East,300000.0,75000,890,0,12,18,4,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
420,Unfurnished,2,East,200000.0,70000,890,0,6,18,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
421,Fully Furnished,2,West,300000.0,63000,680,0,7,18,4,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
422,Semi Furnished,3,East,250000.0,95000,1050,0,9,17,4,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
423,Semi Furnished,2,South,150000.0,49000,405,0,13,16,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
424,Fully Furnished,3,South-West,300000.0,100000,1250,0,8,17,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
425,Fully Furnished,2,West,150000.0,65000,900,0,2,3,25,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1
426,Fully Furnished,3,East,750000.0,175000,2071,1,10,15,24,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1
427,Fully Furnished,3,West,500000.0,140000,1785,1,5,7,25,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
428,Semi Furnished,2,East,500000.0,145000,1500,0,8,35,10,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
429,Fully Furnished,3,West,800000.0,180000,1571,0,8,30,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
430,Unfurnished,2,East,200000.0,65000,720,0,5,15,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
431,Unfurnished,2,East,100000.0,40000,600,0,12,22,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1
432,Unfurnished,3,North,600000.0,200000,1650,1,10,35,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
433,Fully Furnished,2,East,300000.0,85000,950,0,7,20,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
434,Semi Furnished,2,East,200000.0,60000,950,0,5,11,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
435,Fully Furnished,1,South-East,100000.0,57000,465,1,3,17,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
436,Unfurnished,2,East,200000.0,65000,665,0,7,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
437,Fully Furnished,2,North,350000.0,99000,950,0,2,7,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
438,Fully Furnished,2,East,200000.0,50000,525,0,7,21,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
440,Unfurnished,2,North,250000.0,115000,1250,1,13,22,7,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
441,Unfurnished,2,East,250000.0,81000,950,1,7,22,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
442,Unfurnished,2,East,150000.0,49000,670,0,14,16,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
443,Fully Furnished,3,West,500000.0,150000,1450,1,13,22,8,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
444,Semi Furnished,2,East,200000.0,85000,1050,1,5,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
445,Unfurnished,2,East,150000.0,55000,725,0,5,16,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
446,Semi Furnished,2,East,300000.0,135000,1020,1,10,12,4,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
447,Semi Furnished,2,East,150000.0,44000,650,0,3,6,18,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
